step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,grad_accum,effective_batch,num_params,world_size
1,10.7651,,47339.46,,63216,33174.6,33174.6,2097152,33.2,33.2,1.00e-06,10.2950,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
2,10.7321,,45804.94,,576499,3637.7,3637.7,4194304,36.8,36.8,2.00e-06,10.3287,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
3,10.6398,,41762.91,,575109,3646.5,3646.5,6291456,40.5,40.5,3.00e-06,7.2219,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
4,10.5455,,38007.18,,575065,3646.8,3646.8,8388608,44.1,44.1,4.00e-06,6.7198,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
5,10.4451,,34376.24,,575470,3644.2,3644.2,10485760,47.8,47.7,5.00e-06,5.2794,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
6,10.3452,,31106.41,,573231,3658.5,3658.5,12582912,51.4,51.4,6.00e-06,4.6818,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
7,10.2933,,29534.66,,571861,3667.2,3667.2,14680064,55.1,55.1,7.00e-06,4.0276,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
8,10.1891,,26611.92,,570736,3674.5,3674.5,16777216,58.8,58.8,8.00e-06,4.2276,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
9,10.1116,,24626.11,,569831,3680.3,3680.3,18874368,62.4,62.4,9.00e-06,4.1921,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
10,9.9984,,21990.47,,569756,3680.8,3680.8,20971520,66.1,66.1,1.00e-05,4.4562,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
11,9.9041,,20011.42,,568549,3688.6,3688.6,23068672,69.8,69.8,1.10e-05,4.6996,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
12,9.9110,,20149.82,,569145,3684.7,3684.7,25165824,73.5,73.5,1.20e-05,4.3529,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
13,9.8125,,18260.84,,568221,3690.7,3690.7,27262976,77.2,77.2,1.30e-05,4.5550,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
14,9.7877,,17814.05,,567556,3695.1,3695.1,29360128,80.9,80.9,1.40e-05,4.4374,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
15,9.7179,,16613.13,,565997,3705.2,3705.2,31457280,84.6,84.6,1.50e-05,4.5198,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
16,9.7285,,16788.97,,565855,3706.2,3706.2,33554432,88.3,88.3,1.60e-05,4.2256,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
17,9.6406,,15376.92,,564460,3715.3,3715.3,35651584,92.0,92.0,1.70e-05,4.4379,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
18,9.5915,,14639.71,,564836,3712.9,3712.9,37748736,95.7,95.7,1.80e-05,4.4599,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
19,9.4956,,13300.58,,564606,3714.4,3714.4,39845888,99.4,99.4,1.90e-05,4.7376,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
20,9.4967,,13315.20,,566112,3704.5,3704.5,41943040,103.1,103.1,2.00e-05,4.4247,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
21,9.4992,,13349.12,,565803,3706.5,3706.5,44040192,106.8,106.8,2.10e-05,4.1481,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
22,9.4491,,12696.59,,566665,3700.9,3700.9,46137344,110.5,110.5,2.20e-05,4.1240,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
23,9.3714,,11747.95,,566976,3698.8,3698.8,48234496,114.2,114.2,2.30e-05,4.3056,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
24,9.3325,,11299.69,,568444,3689.3,3689.3,50331648,117.9,117.9,2.40e-05,4.3575,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
25,9.2395,,10296.12,,568240,3690.6,3690.6,52428800,121.6,121.6,2.50e-05,4.5117,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
26,9.2369,,10269.58,,568883,3686.4,3686.4,54525952,125.3,125.3,2.60e-05,4.1445,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
27,9.0957,,8916.76,,569792,3680.6,3680.6,56623104,129.0,129.0,2.70e-05,4.6811,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
28,9.0715,,8703.73,,569151,3684.7,3684.7,58720256,132.7,132.7,2.80e-05,4.4258,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
29,9.0078,,8166.62,,570426,3676.5,3676.5,60817408,136.3,136.3,2.90e-05,4.5101,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
30,8.9743,,7897.54,,569196,3684.4,3684.4,62914560,140.0,140.0,3.00e-05,4.3015,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
31,8.8900,,7258.79,,568618,3688.2,3688.2,65011712,143.7,143.7,3.10e-05,4.3301,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
