step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,grad_accum,effective_batch,num_params,world_size
1,10.7430,,46306.88,,87588,23943.3,23943.3,2097152,23.9,23.9,1.15e-05,4.2619,bf16,125M,64,32,2048,142461696,1
2,10.6301,,41362.34,,364186,5758.5,5758.5,4194304,29.7,29.7,2.31e-05,2.9762,bf16,125M,64,32,2048,142461696,1
3,10.5302,,37430.28,,372574,5628.8,5628.8,6291456,35.3,35.3,3.46e-05,2.7389,bf16,125M,64,32,2048,142461696,1
4,10.4371,,34101.47,,383240,5472.2,5472.2,8388608,40.8,40.8,4.62e-05,2.6470,bf16,125M,64,32,2048,142461696,1
5,10.3304,,30649.97,,372717,5626.7,5626.7,10485760,46.4,46.4,5.77e-05,2.8890,bf16,125M,64,32,2048,142461696,1
6,10.2950,,29583.60,,375292,5588.1,5588.1,12582912,52.0,52.0,6.92e-05,2.7726,bf16,125M,64,32,2048,142461696,1
7,10.2411,,28030.80,,383073,5474.6,5474.6,14680064,57.5,57.5,8.08e-05,2.7661,bf16,125M,64,32,2048,142461696,1
8,10.1741,,26215.21,,383363,5470.4,5470.4,16777216,63.0,63.0,9.23e-05,2.7574,bf16,125M,64,32,2048,142461696,1
9,10.0804,,23871.29,,383437,5469.3,5469.3,18874368,68.4,68.4,1.04e-04,2.8637,bf16,125M,64,32,2048,142461696,1
10,10.0029,,22090.92,,374636,5597.8,5597.8,20971520,74.0,74.0,1.15e-04,2.9128,bf16,125M,64,32,2048,142461696,1
11,9.9731,,21441.66,,381864,5491.9,5491.9,23068672,79.5,79.5,1.27e-04,3.0833,bf16,125M,64,32,2048,142461696,1
12,9.8225,,18444.11,,382620,5481.0,5481.0,25165824,85.0,85.0,1.38e-04,2.7049,bf16,125M,64,32,2048,142461696,1
