step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,grad_accum,effective_batch,num_params,world_size
1,10.7391,,46123.84,,6798,48204.0,48204.0,327680,48.2,48.2,9.84e-07,5.6977,fp8_tensorwise,250M,80,4,320,264401920,1
2,10.7476,,46517.88,,269358,1216.5,1216.5,655360,49.4,49.4,1.97e-06,4.7186,fp8_tensorwise,250M,80,4,320,264401920,1
3,10.7207,,45283.69,,259039,1265.0,1265.0,983040,50.7,50.7,2.95e-06,5.0160,fp8_tensorwise,250M,80,4,320,264401920,1
4,10.6726,,43154.94,,268380,1221.0,1221.0,1310720,51.9,51.9,3.93e-06,5.5280,fp8_tensorwise,250M,80,4,320,264401920,1
5,10.6409,,41811.37,,268525,1220.3,1220.3,1638400,53.1,53.1,4.92e-06,3.8628,fp8_tensorwise,250M,80,4,320,264401920,1
6,10.6049,,40333.53,,259860,1261.0,1261.0,1966080,54.4,54.4,5.90e-06,3.5820,fp8_tensorwise,250M,80,4,320,264401920,1
7,10.6162,,40789.28,,268895,1218.6,1218.6,2293760,55.6,55.6,6.89e-06,2.8568,fp8_tensorwise,250M,80,4,320,264401920,1
8,10.5410,,37836.77,,269141,1217.5,1217.5,2621440,56.8,56.8,7.87e-06,3.2461,fp8_tensorwise,250M,80,4,320,264401920,1
9,10.4980,,36243.71,,268851,1218.8,1218.8,2949120,58.0,58.0,8.85e-06,3.1523,fp8_tensorwise,250M,80,4,320,264401920,1
10,10.4005,,32875.07,,268474,1220.5,1220.5,3276800,59.3,59.3,9.84e-06,3.5135,fp8_tensorwise,250M,80,4,320,264401920,1
11,10.3750,,32047.37,,269708,1214.9,1214.9,3604480,60.5,60.5,1.08e-05,3.3551,fp8_tensorwise,250M,80,4,320,264401920,1
12,10.3318,,30694.55,,271006,1209.1,1209.1,3932160,61.7,61.7,1.18e-05,3.3298,fp8_tensorwise,250M,80,4,320,264401920,1
13,10.2651,,28713.49,,269113,1217.6,1217.6,4259840,62.9,62.9,1.28e-05,3.5270,fp8_tensorwise,250M,80,4,320,264401920,1
14,10.2618,,28618.85,,268268,1221.5,1221.5,4587520,64.1,64.1,1.38e-05,3.3316,fp8_tensorwise,250M,80,4,320,264401920,1
15,10.2639,,28678.16,,266165,1231.1,1231.1,4915200,65.4,65.4,1.48e-05,3.1600,fp8_tensorwise,250M,80,4,320,264401920,1
16,10.2404,,28012.90,,270580,1211.0,1211.0,5242880,66.6,66.6,1.57e-05,3.1510,fp8_tensorwise,250M,80,4,320,264401920,1
17,10.3064,,29922.96,,268574,1220.1,1220.1,5570560,67.8,67.8,1.67e-05,2.6897,fp8_tensorwise,250M,80,4,320,264401920,1
18,10.1652,,25983.88,,269505,1215.9,1215.9,5898240,69.0,69.0,1.77e-05,3.3600,fp8_tensorwise,250M,80,4,320,264401920,1
19,10.1122,,24641.15,,268680,1219.6,1219.6,6225920,70.2,70.2,1.87e-05,3.5418,fp8_tensorwise,250M,80,4,320,264401920,1
20,10.1650,,25977.02,,268995,1218.2,1218.2,6553600,71.4,71.4,1.97e-05,3.0339,fp8_tensorwise,250M,80,4,320,264401920,1
21,10.1305,,25097.79,,268780,1219.1,1219.1,6881280,72.7,72.7,2.07e-05,3.0611,fp8_tensorwise,250M,80,4,320,264401920,1
22,10.0621,,23438.00,,268338,1221.1,1221.1,7208960,73.9,73.9,2.16e-05,3.3733,fp8_tensorwise,250M,80,4,320,264401920,1
23,10.0296,,22688.05,,269113,1217.6,1217.6,7536640,75.1,75.1,2.26e-05,3.3536,fp8_tensorwise,250M,80,4,320,264401920,1
