step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,grad_accum,effective_batch,num_params
1,10.7957,,48810.82,,75793,27885.6,27885.6,2113536,27.9,27.9,1.25e-05,0.6708,bf16,125M,48,43,2064,143248128
2,10.7844,,48261.17,,81595,25902.7,25902.7,4227072,53.8,53.8,2.50e-05,0.8023,bf16,125M,48,43,2064,143248128
3,10.7621,,47198.96,,80614,26217.9,26217.9,6340608,80.0,80.0,3.75e-05,0.9960,bf16,125M,48,43,2064,143248128
4,10.7220,,45344.72,,80009,26416.1,26416.1,8454144,106.4,106.4,5.00e-05,1.3342,bf16,125M,48,43,2064,143248128
5,10.6037,,40281.89,,79481,26591.7,26591.7,10567680,133.0,133.0,6.25e-05,2.2522,bf16,125M,48,43,2064,143248128
6,10.4840,,35740.42,,81388,25968.6,25968.6,12681216,159.0,159.0,7.50e-05,2.6270,bf16,125M,48,43,2064,143248128
7,10.3759,,32075.90,,82981,25470.0,25470.0,14794752,184.5,184.5,8.75e-05,2.8278,bf16,125M,48,43,2064,143248128
8,10.2778,,29080.28,,82273,25689.5,25689.5,16908288,210.1,210.1,1.00e-04,2.8074,bf16,125M,48,43,2064,143248128
9,10.1758,,26258.72,,81612,25897.3,25897.3,19021824,236.0,236.0,1.12e-04,3.0214,bf16,125M,48,43,2064,143248128
10,10.0741,,23719.59,,81330,25987.2,25987.2,21135360,262.0,262.0,1.25e-04,2.9657,bf16,125M,48,43,2064,143248128
11,9.9835,,21666.98,,83063,25444.8,25444.8,23248896,287.5,287.5,1.37e-04,2.8462,bf16,125M,48,43,2064,143248128
12,9.8547,,19048.55,,83317,25367.4,25367.4,25362432,312.8,312.8,1.50e-04,2.9940,bf16,125M,48,43,2064,143248128
13,9.7539,,17220.49,,82562,25599.3,25599.3,27475968,338.4,338.4,1.62e-04,2.8503,bf16,125M,48,43,2064,143248128
14,9.5513,,14062.40,,81852,25821.4,25821.4,29589504,364.3,364.3,1.75e-04,3.1528,bf16,125M,48,43,2064,143248128
15,9.4190,,12320.67,,82971,25473.1,25473.1,31703040,389.7,389.7,1.87e-04,3.0245,bf16,125M,48,43,2064,143248128
16,9.2715,,10630.89,,83681,25257.0,25257.0,33816576,415.0,415.0,2.00e-04,2.9237,bf16,125M,48,43,2064,143248128
17,9.1396,,9317.20,,82793,25527.9,25527.9,35930112,440.5,440.5,2.12e-04,2.8661,bf16,125M,48,43,2064,143248128
18,9.0072,,8161.91,,82336,25669.5,25669.5,38043648,466.2,466.2,2.25e-04,2.8608,bf16,125M,48,43,2064,143248128
19,8.8795,,7183.12,,83856,25204.4,25204.4,40157184,491.4,491.4,2.37e-04,2.7835,bf16,125M,48,43,2064,143248128
20,8.6874,,5927.60,,84639,24971.3,24971.3,42270720,516.4,516.4,2.50e-04,2.9712,bf16,125M,48,43,2064,143248128
21,8.5599,,5217.98,,83547,25297.5,25297.5,44384256,541.7,541.7,2.62e-04,2.7668,bf16,125M,48,43,2064,143248128
22,8.3921,,4412.01,,82492,25621.2,25621.2,46497792,567.3,567.3,2.75e-04,2.8528,bf16,125M,48,43,2064,143248128
23,8.2749,,3924.16,,82948,25480.4,25480.4,48611328,592.8,592.8,2.87e-04,2.7204,bf16,125M,48,43,2064,143248128
24,8.1298,,3394.23,,84559,24994.9,24994.9,50724864,617.8,617.8,3.00e-04,2.8795,bf16,125M,48,43,2064,143248128
25,7.9933,,2961.00,,83482,25317.1,25317.1,52838400,643.1,643.1,3.00e-04,2.8314,bf16,125M,48,43,2064,143248128
26,7.9376,,2800.54,,82590,25590.6,25590.6,54951936,668.7,668.7,3.00e-04,2.4764,bf16,125M,48,43,2064,143248128
27,7.7907,,2418.09,,82818,25520.2,25520.2,57065472,694.2,694.2,3.00e-04,2.5638,bf16,125M,48,43,2064,143248128
28,7.6908,,2188.11,,84213,25097.6,25097.6,59179008,719.3,719.3,3.00e-04,2.5377,bf16,125M,48,43,2064,143248128
29,7.5945,,1987.25,,82789,25529.3,25529.3,61292544,744.8,744.8,3.00e-04,2.4353,bf16,125M,48,43,2064,143248128
30,7.5520,,1904.59,,82463,25630.2,25630.2,63406080,770.4,770.4,3.00e-04,2.3109,bf16,125M,48,43,2064,143248128
31,7.4234,,1674.68,,82781,25531.7,25531.7,65519616,796.0,796.0,3.00e-04,2.2410,bf16,125M,48,43,2064,143248128
32,7.4116,,1655.00,,84296,25072.7,25072.7,67633152,821.0,821.0,3.00e-04,1.9735,bf16,125M,48,43,2064,143248128
33,7.3328,,1529.72,,83075,25441.3,25441.3,69746688,846.5,846.5,3.00e-04,1.9152,bf16,125M,48,43,2064,143248128
34,7.3322,,1528.78,,82743,25543.5,25543.5,71860224,872.0,872.0,3.00e-04,1.6869,bf16,125M,48,43,2064,143248128
35,7.2717,,1438.96,,83228,25394.6,25394.6,73973760,897.4,897.4,3.00e-04,1.3380,bf16,125M,48,43,2064,143248128
36,7.2456,,1401.86,,84338,25060.4,25060.4,76087296,922.5,922.5,3.00e-04,1.1145,bf16,125M,48,43,2064,143248128
37,7.2078,,1349.88,,83251,25387.7,25387.7,78200832,947.9,947.9,3.00e-04,0.9205,bf16,125M,48,43,2064,143248128
38,7.1928,,1329.86,,81959,25787.7,25787.7,80314368,973.7,973.7,3.00e-04,0.6308,bf16,125M,48,43,2064,143248128
39,7.1616,,1289.01,,83302,25371.9,25371.9,82427904,999.0,999.0,3.00e-04,0.7672,bf16,125M,48,43,2064,143248128
40,7.1208,,1237.45,,83797,25222.0,25222.0,84541440,1024.3,1024.3,3.00e-04,0.6012,bf16,125M,48,43,2064,143248128
41,7.0663,,1171.84,,82936,25483.8,25483.8,86654976,1049.7,1049.7,3.00e-04,1.2606,bf16,125M,48,43,2064,143248128
42,7.0905,,1200.52,,81685,25874.1,25874.1,88768512,1075.6,1075.6,3.00e-04,2.1389,bf16,125M,48,43,2064,143248128
43,7.0448,,1146.85,,83064,25444.6,25444.6,90882048,1101.1,1101.1,3.00e-04,0.5767,bf16,125M,48,43,2064,143248128
44,7.2025,,1342.78,,83873,25199.3,25199.3,92995584,1126.3,1126.3,3.00e-04,3.8243,bf16,125M,48,43,2064,143248128
45,7.0530,,1156.27,,82849,25510.9,25510.9,95109120,1151.8,1151.8,3.00e-04,0.9092,bf16,125M,48,43,2064,143248128
46,7.0491,,1151.78,,82087,25747.6,25747.6,97222656,1177.5,1177.5,3.00e-04,0.5582,bf16,125M,48,43,2064,143248128
47,7.0423,,1143.96,,82189,25715.7,25715.7,99336192,1203.2,1203.2,3.00e-04,1.5925,bf16,125M,48,43,2064,143248128
48,7.0603,,1164.79,,82907,25492.9,25492.9,101449728,1228.7,1228.7,3.00e-04,0.7922,bf16,125M,48,43,2064,143248128
49,7.0461,,1148.37,,83511,25308.5,25308.5,103563264,1254.0,1254.0,3.00e-04,0.5263,bf16,125M,48,43,2064,143248128
50,7.1027,,1215.25,,83349,25357.8,25357.8,105676800,1279.4,1279.4,3.00e-04,1.1207,bf16,125M,48,43,2064,143248128
