step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,grad_accum,effective_batch,num_params
1,10.7914,,48601.75,,88710,22163.0,22163.0,1966080,22.2,22.2,5.56e-06,0.7353,fp8_tensorwise,250M,80,24,1920,265450496
2,10.7847,,48274.18,,291854,6736.5,6736.5,3932160,28.9,28.9,1.11e-05,0.8188,fp8_tensorwise,250M,80,24,1920,265450496
3,10.7725,,47689.11,,292722,6716.5,6716.5,5898240,35.6,35.6,1.67e-05,0.9011,fp8_tensorwise,250M,80,24,1920,265450496
4,10.7344,,45909.04,,292292,6726.4,6726.4,7864320,42.3,42.3,2.22e-05,1.2560,fp8_tensorwise,250M,80,24,1920,265450496
5,10.6851,,43698.25,,292198,6728.6,6728.6,9830400,49.1,49.1,2.78e-05,1.6625,fp8_tensorwise,250M,80,24,1920,265450496
6,10.5704,,38965.96,,292439,6723.0,6723.0,11796480,55.8,55.8,3.33e-05,2.5287,fp8_tensorwise,250M,80,24,1920,265450496
7,10.4575,,34803.77,,292286,6726.6,6726.6,13762560,62.5,62.5,3.89e-05,2.8819,fp8_tensorwise,250M,80,24,1920,265450496
8,10.3567,,31466.56,,292895,6712.6,6712.6,15728640,69.2,69.2,4.44e-05,3.1836,fp8_tensorwise,250M,80,24,1920,265450496
9,10.2777,,29078.24,,293001,6710.2,6710.2,17694720,75.9,75.9,5.00e-05,3.2230,fp8_tensorwise,250M,80,24,1920,265450496
10,10.1824,,26434.72,,292589,6719.6,6719.6,19660800,82.7,82.7,5.56e-05,3.3843,fp8_tensorwise,250M,80,24,1920,265450496
11,10.1305,,25096.55,,293114,6707.6,6707.6,21626880,89.4,89.4,6.11e-05,3.2789,fp8_tensorwise,250M,80,24,1920,265450496
12,10.0301,,22700.43,,293081,6708.3,6708.3,23592960,96.1,96.1,6.67e-05,3.4736,fp8_tensorwise,250M,80,24,1920,265450496
13,9.9703,,21382.68,,293242,6704.6,6704.6,25559040,102.8,102.8,7.22e-05,3.2265,fp8_tensorwise,250M,80,24,1920,265450496
14,9.8929,,19789.93,,293366,6701.8,6701.8,27525120,109.5,109.5,7.78e-05,3.1136,fp8_tensorwise,250M,80,24,1920,265450496
15,9.7691,,17484.16,,293143,6706.9,6706.9,29491200,116.2,116.2,8.33e-05,3.7463,fp8_tensorwise,250M,80,24,1920,265450496
16,9.6635,,15732.53,,293604,6696.4,6696.4,31457280,122.9,122.9,8.89e-05,3.4525,fp8_tensorwise,250M,80,24,1920,265450496
17,9.5481,,14018.06,,293698,6694.2,6694.2,33423360,129.6,129.6,9.44e-05,3.4425,fp8_tensorwise,250M,80,24,1920,265450496
18,9.4711,,12979.09,,293705,6694.1,6694.1,35389440,136.3,136.3,1.00e-04,3.2842,fp8_tensorwise,250M,80,24,1920,265450496
19,9.3703,,11734.07,,293680,6694.6,6694.6,37355520,143.0,143.0,1.06e-04,3.2984,fp8_tensorwise,250M,80,24,1920,265450496
20,9.2675,,10588.46,,294064,6685.9,6685.9,39321600,149.7,149.7,1.11e-04,3.2526,fp8_tensorwise,250M,80,24,1920,265450496
21,9.1246,,9178.70,,294268,6681.3,6681.3,41287680,156.3,156.3,1.17e-04,3.4403,fp8_tensorwise,250M,80,24,1920,265450496
22,9.0275,,8328.93,,293915,6689.3,6689.3,43253760,163.0,163.0,1.22e-04,3.2997,fp8_tensorwise,250M,80,24,1920,265450496
23,8.9107,,7411.13,,293865,6690.4,6690.4,45219840,169.7,169.7,1.28e-04,3.2527,fp8_tensorwise,250M,80,24,1920,265450496
24,8.7934,,6590.48,,293158,6706.5,6706.5,47185920,176.4,176.4,1.33e-04,3.2517,fp8_tensorwise,250M,80,24,1920,265450496
