step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,grad_accum,effective_batch,num_params
1,10.8038,,49205.81,,29425,70993.4,70993.4,2088960,71.0,71.0,4.55e-06,0.5682,bf16,350M,24,85,2040,417514496
2,10.7984,,48943.61,,30812,67797.6,67797.6,4177920,138.8,138.8,9.09e-06,0.6470,bf16,350M,24,85,2040,417514496
3,10.7899,,48528.89,,30586,68298.5,68298.5,6266880,207.1,207.1,1.36e-05,0.7076,bf16,350M,24,85,2040,417514496
4,10.7790,,48002.80,,30585,68301.0,68301.0,8355840,275.4,275.4,1.82e-05,0.7870,bf16,350M,24,85,2040,417514496
5,10.7385,,46096.40,,30677,68095.4,68095.4,10444800,343.5,343.5,2.27e-05,1.2875,bf16,350M,24,85,2040,417514496
6,10.6895,,43892.12,,30656,68141.6,68141.6,12533760,411.6,411.6,2.73e-05,1.7388,bf16,350M,24,85,2040,417514496
7,10.5928,,39847.38,,30649,68157.8,68157.8,14622720,479.8,479.8,3.18e-05,2.4484,bf16,350M,24,85,2040,417514496
8,10.4783,,35535.04,,30735,67967.0,67967.0,16711680,547.8,547.8,3.64e-05,3.0646,bf16,350M,24,85,2040,417514496
9,10.4003,,32868.86,,30905,67593.4,67593.4,18800640,615.3,615.3,4.09e-05,3.2943,bf16,350M,24,85,2040,417514496
10,10.3390,,30914.83,,30975,67439.3,67439.3,20889600,682.8,682.8,4.55e-05,3.3318,bf16,350M,24,85,2040,417514496
11,10.2970,,29644.65,,30893,67618.6,67618.6,22978560,750.4,750.4,5.00e-05,3.2047,bf16,350M,24,85,2040,417514496
12,10.2366,,27907.27,,30930,67539.0,67539.0,25067520,817.9,817.9,5.45e-05,3.2048,bf16,350M,24,85,2040,417514496
13,10.1671,,26032.40,,31141,67080.7,67080.7,27156480,885.0,885.0,5.91e-05,3.2518,bf16,350M,24,85,2040,417514496
14,10.0666,,23544.53,,31251,66845.0,66845.0,29245440,951.9,951.9,6.36e-05,3.5169,bf16,350M,24,85,2040,417514496
15,9.9927,,21866.35,,31182,66991.9,66991.9,31334400,1018.9,1018.9,6.82e-05,3.5037,bf16,350M,24,85,2040,417514496
16,9.9117,,20165.72,,31216,66919.2,66919.2,33423360,1085.8,1085.8,7.27e-05,3.4913,bf16,350M,24,85,2040,417514496
17,9.8353,,18682.64,,31346,66641.2,66641.2,35512320,1152.4,1152.4,7.73e-05,3.3641,bf16,350M,24,85,2040,417514496
18,9.7547,,17234.89,,31223,66904.3,66904.3,37601280,1219.3,1219.3,8.18e-05,3.5217,bf16,350M,24,85,2040,417514496
19,9.6523,,15558.27,,31218,66915.0,66915.0,39690240,1286.2,1286.2,8.64e-05,3.2316,bf16,350M,24,85,2040,417514496
20,9.5343,,13826.06,,31410,66505.2,66505.2,41779200,1352.7,1352.7,9.09e-05,3.4481,bf16,350M,24,85,2040,417514496
21,9.4281,,12433.41,,31238,66871.8,66871.8,43868160,1419.6,1419.6,9.55e-05,3.3506,bf16,350M,24,85,2040,417514496
22,9.3173,,11129.23,,31253,66839.8,66839.8,45957120,1486.5,1486.5,1.00e-04,3.4568,bf16,350M,24,85,2040,417514496
23,9.2248,,10145.59,,31381,66568.1,66568.1,48046080,1553.0,1553.0,1.05e-04,3.2046,bf16,350M,24,85,2040,417514496
24,9.1144,,9084.92,,31426,66471.5,66471.5,50135040,1619.5,1619.5,1.09e-04,3.3005,bf16,350M,24,85,2040,417514496
25,8.9851,,7983.52,,31348,66638.4,66638.4,52224000,1686.1,1686.1,1.14e-04,3.5320,bf16,350M,24,85,2040,417514496
26,8.9253,,7520.15,,31347,66640.0,66640.0,54312960,1752.8,1752.8,1.18e-04,3.2670,bf16,350M,24,85,2040,417514496
27,8.8158,,6740.03,,31403,66520.9,66520.9,56401920,1819.3,1819.3,1.23e-04,3.2512,bf16,350M,24,85,2040,417514496
28,8.6954,,5975.63,,31461,66398.4,66398.4,58490880,1885.7,1885.7,1.27e-04,3.2039,bf16,350M,24,85,2040,417514496
29,8.5856,,5353.93,,31419,66486.3,66486.3,60579840,1952.2,1952.2,1.32e-04,3.3443,bf16,350M,24,85,2040,417514496
30,8.4813,,4823.58,,31502,66311.7,66311.7,62668800,2018.5,2018.5,1.36e-04,3.2668,bf16,350M,24,85,2040,417514496
31,8.3826,,4370.42,,31480,66359.0,66359.0,64757760,2084.9,2084.9,1.41e-04,3.2516,bf16,350M,24,85,2040,417514496
32,8.2982,,4016.81,,31334,66667.2,66667.2,66846720,2151.5,2151.5,1.45e-04,3.1414,bf16,350M,24,85,2040,417514496
33,8.2223,,3723.18,,31318,66701.6,66701.6,68935680,2218.2,2218.2,1.50e-04,3.0945,bf16,350M,24,85,2040,417514496
34,8.1038,,3306.98,,31379,66571.5,66571.5,71024640,2284.8,2284.8,1.55e-04,3.2041,bf16,350M,24,85,2040,417514496
35,8.0517,,3139.03,,31487,66343.6,66343.6,73113600,2351.1,2351.1,1.59e-04,2.9849,bf16,350M,24,85,2040,417514496
36,7.9456,,2823.08,,31368,66595.4,66595.4,75202560,2417.7,2417.7,1.64e-04,3.0488,bf16,350M,24,85,2040,417514496
37,7.8929,,2678.12,,31476,66366.0,66366.0,77291520,2484.1,2484.1,1.68e-04,2.8758,bf16,350M,24,85,2040,417514496
38,7.7992,,2438.77,,31492,66332.7,66332.7,79380480,2550.4,2550.4,1.73e-04,2.8611,bf16,350M,24,85,2040,417514496
39,7.7057,,2220.90,,31470,66378.6,66378.6,81469440,2616.8,2616.8,1.77e-04,2.7972,bf16,350M,24,85,2040,417514496
40,7.6545,,2110.15,,31138,67087.2,67087.2,83558400,2683.9,2683.9,1.82e-04,2.5813,bf16,350M,24,85,2040,417514496
41,7.5704,,1940.01,,31276,66791.1,66791.1,85647360,2750.7,2750.7,1.86e-04,2.6281,bf16,350M,24,85,2040,417514496
42,7.4464,,1713.75,,31300,66740.5,66740.5,87736320,2817.4,2817.4,1.91e-04,2.6915,bf16,350M,24,85,2040,417514496
43,7.4380,,1699.40,,31040,67298.8,67298.8,89825280,2884.7,2884.7,1.95e-04,2.4705,bf16,350M,24,85,2040,417514496
44,7.4639,,1743.90,,31507,66300.5,66300.5,91914240,2951.0,2951.0,2.00e-04,2.3484,bf16,350M,24,85,2040,417514496
45,7.3910,,1621.27,,31320,66698.4,66698.4,94003200,3017.7,3017.7,2.05e-04,2.4573,bf16,350M,24,85,2040,417514496
46,7.3712,,1589.47,,31344,66647.2,66647.2,96092160,3084.4,3084.4,2.09e-04,1.9384,bf16,350M,24,85,2040,417514496
47,7.3293,,1524.27,,31188,66978.7,66978.7,98181120,3151.4,3151.4,2.14e-04,1.6727,bf16,350M,24,85,2040,417514496
48,7.2633,,1426.97,,31360,66612.5,66612.5,100270080,3218.0,3218.0,2.18e-04,1.5397,bf16,350M,24,85,2040,417514496
