step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,num_params
1,11.2146,,74202.69,,3032,10808.1,10808.1,32768,10.8,10.8,3.00e-06,5.0493,bf16,1.5B,32,1564837888
2,11.2264,,75089.04,,4636,7067.8,7067.8,65536,17.9,17.9,6.00e-06,5.0514,bf16,1.5B,32,1564837888
3,11.2294,,75315.39,,4602,7121.1,7121.1,98304,25.0,25.0,9.00e-06,5.0522,bf16,1.5B,32,1564837888
4,11.2158,,74297.72,,4628,7080.2,7080.2,131072,32.1,32.1,1.20e-05,5.0523,bf16,1.5B,32,1564837888
5,11.1912,,72488.49,,4644,7056.4,7056.4,163840,39.1,39.1,1.50e-05,5.2047,bf16,1.5B,32,1564837888
6,11.1837,,71948.53,,4635,7070.1,7070.1,196608,46.2,46.2,1.80e-05,5.0699,bf16,1.5B,32,1564837888
7,11.1612,,70350.11,,4649,7048.4,7048.4,229376,53.3,53.3,2.10e-05,5.0501,bf16,1.5B,32,1564837888
8,11.1116,,66945.44,,4618,7096.3,7096.3,262144,60.4,60.3,2.40e-05,5.0668,bf16,1.5B,32,1564837888
9,11.0455,,62658.34,,4626,7082.9,7082.9,294912,67.4,67.4,2.70e-05,5.0739,bf16,1.5B,32,1564837888
10,10.9599,,57523.43,,4602,7120.1,7120.1,327680,74.6,74.6,3.00e-05,5.1149,bf16,1.5B,32,1564837888
11,10.8535,,51715.94,,4621,7090.6,7090.6,360448,81.6,81.6,3.30e-05,5.1708,bf16,1.5B,32,1564837888
12,10.7213,,45310.43,,4618,7095.6,7095.6,393216,88.7,88.7,3.60e-05,5.2288,bf16,1.5B,32,1564837888
13,10.5036,,36445.33,,4593,7134.8,7134.8,425984,95.9,95.9,3.90e-05,5.4103,bf16,1.5B,32,1564837888
14,9.9938,,21889.53,,4636,7068.4,7068.4,458752,102.9,102.9,4.20e-05,5.5439,bf16,1.5B,32,1564837888
15,10.1167,,24753.66,,4605,7116.3,7116.3,491520,110.1,110.1,4.50e-05,15.1815,bf16,1.5B,32,1564837888
16,9.8418,,18803.78,,4602,7120.2,7120.2,524288,117.2,117.2,4.80e-05,15.4598,bf16,1.5B,32,1564837888
17,9.3625,,11643.71,,4598,7126.2,7126.2,557056,124.3,124.3,5.10e-05,6.9056,bf16,1.5B,32,1564837888
18,9.2194,,10090.59,,4592,7136.2,7136.2,589824,131.4,131.4,5.40e-05,4.3536,bf16,1.5B,32,1564837888
19,9.0629,,8628.87,,4606,7114.1,7114.1,622592,138.6,138.6,5.70e-05,4.1858,bf16,1.5B,32,1564837888
20,8.9634,,7811.69,,4610,7107.9,7107.9,655360,145.7,145.7,6.00e-05,3.7159,bf16,1.5B,32,1564837888
21,8.9937,,8052.53,,4631,7075.9,7075.9,688128,152.7,152.7,6.30e-05,4.7523,bf16,1.5B,32,1564837888
22,8.8329,,6855.90,,4598,7125.9,7125.9,720896,159.9,159.9,6.60e-05,9.1064,bf16,1.5B,32,1564837888
23,8.6870,,5925.38,,4598,7127.3,7127.3,753664,167.0,167.0,6.90e-05,3.6094,bf16,1.5B,32,1564837888
24,8.5613,,5225.41,,4610,7108.1,7108.1,786432,174.1,174.1,7.20e-05,2.6405,bf16,1.5B,32,1564837888
25,8.3863,,4386.50,,4606,7114.6,7114.6,819200,181.2,181.2,7.50e-05,3.9602,bf16,1.5B,32,1564837888
26,8.5113,,4970.57,,4612,7104.3,7104.3,851968,188.3,188.3,7.80e-05,2.8670,bf16,1.5B,32,1564837888
27,8.3269,,4133.70,,4610,7107.3,7107.3,884736,195.4,195.4,8.10e-05,2.3987,bf16,1.5B,32,1564837888
28,8.1829,,3579.09,,4613,7103.1,7103.1,917504,202.5,202.5,8.40e-05,3.3865,bf16,1.5B,32,1564837888
29,8.3632,,4286.47,,4601,7121.9,7121.9,950272,209.7,209.7,8.70e-05,2.4325,bf16,1.5B,32,1564837888
30,8.1973,,3631.18,,4601,7122.2,7122.2,983040,216.8,216.8,9.00e-05,1.7725,bf16,1.5B,32,1564837888
31,8.0558,,3151.88,,4612,7104.9,7104.9,1015808,223.9,223.9,9.30e-05,1.8986,bf16,1.5B,32,1564837888
32,7.9881,,2945.71,,4612,7105.6,7105.6,1048576,231.0,231.0,9.60e-05,2.0288,bf16,1.5B,32,1564837888
33,7.7023,,2213.42,,4594,7133.5,7133.5,1081344,238.1,238.1,9.90e-05,1.6309,bf16,1.5B,32,1564837888
34,7.8815,,2647.72,,4604,7117.8,7117.8,1114112,245.2,245.2,1.02e-04,1.7100,bf16,1.5B,32,1564837888
35,7.7983,,2436.50,,4599,7124.4,7124.4,1146880,252.4,252.4,1.05e-04,1.5758,bf16,1.5B,32,1564837888
36,7.6364,,2072.20,,4613,7103.9,7103.9,1179648,259.5,259.5,1.08e-04,1.3117,bf16,1.5B,32,1564837888
37,7.6299,,2058.77,,4598,7127.2,7127.2,1212416,266.6,266.6,1.11e-04,2.1717,bf16,1.5B,32,1564837888
38,7.4705,,1755.54,,4608,7111.5,7111.5,1245184,273.7,273.7,1.14e-04,1.2276,bf16,1.5B,32,1564837888
39,7.3514,,1558.36,,4611,7105.8,7105.8,1277952,280.8,280.8,1.17e-04,1.3569,bf16,1.5B,32,1564837888
40,7.4726,,1759.21,,4585,7147.3,7147.3,1310720,288.0,288.0,1.20e-04,1.9029,bf16,1.5B,32,1564837888
41,7.5517,,1904.00,,4610,7107.4,7107.4,1343488,295.1,295.1,1.23e-04,1.7538,bf16,1.5B,32,1564837888
42,7.5079,,1822.38,,4592,7136.5,7136.5,1376256,302.2,302.2,1.26e-04,1.3614,bf16,1.5B,32,1564837888
43,7.3234,,1515.34,,4608,7111.1,7111.1,1409024,309.3,309.3,1.29e-04,1.1812,bf16,1.5B,32,1564837888
44,7.3925,,1623.75,,4590,7139.7,7139.7,1441792,316.5,316.4,1.32e-04,1.4688,bf16,1.5B,32,1564837888
