step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,num_params
1,10.7697,,47555.98,,2399,5122.6,5122.6,12288,5.1,5.1,3.00e-06,1.2461,bf16,1.5B,12,1564837888
2,10.7329,,45839.90,,9243,1329.4,1329.4,24576,6.5,6.5,6.00e-06,1.8107,bf16,1.5B,12,1564837888
3,10.7704,,47588.92,,9338,1315.9,1315.9,36864,7.8,7.8,9.00e-06,1.1164,bf16,1.5B,12,1564837888
4,10.8098,,49503.53,,9402,1307.0,1307.0,49152,9.1,9.1,1.20e-05,0.7775,bf16,1.5B,12,1564837888
5,10.7614,,47164.12,,9281,1324.0,1324.0,61440,10.4,10.4,1.50e-05,1.1389,bf16,1.5B,12,1564837888
6,10.5866,,39601.46,,9267,1326.0,1326.0,73728,11.7,11.7,1.80e-05,2.5506,bf16,1.5B,12,1564837888
7,10.4317,,33918.21,,9322,1318.2,1318.2,86016,13.0,13.0,2.10e-05,3.3181,bf16,1.5B,12,1564837888
8,10.2445,,28126.16,,9266,1326.1,1326.1,98304,14.4,14.4,2.40e-05,4.1225,bf16,1.5B,12,1564837888
9,10.0083,,22209.72,,9261,1326.8,1326.8,110592,15.7,15.7,2.70e-05,5.6390,bf16,1.5B,12,1564837888
10,10.0871,,24030.61,,9222,1332.5,1332.5,122880,17.0,17.0,3.00e-05,4.5249,bf16,1.5B,12,1564837888
11,10.2818,,29195.25,,9315,1319.1,1319.1,135168,18.3,18.3,3.30e-05,3.9725,bf16,1.5B,12,1564837888
12,10.0260,,22607.76,,9327,1317.4,1317.4,147456,19.7,19.7,3.60e-05,4.3255,bf16,1.5B,12,1564837888
13,9.9649,,21266.91,,9345,1314.9,1314.9,159744,21.0,21.0,3.90e-05,4.1307,bf16,1.5B,12,1564837888
14,9.8356,,18688.09,,9242,1329.6,1329.6,172032,22.3,22.3,4.20e-05,4.6374,bf16,1.5B,12,1564837888
15,9.6838,,16055.69,,9255,1327.7,1327.7,184320,23.6,23.6,4.50e-05,5.2443,bf16,1.5B,12,1564837888
16,9.6832,,16045.38,,9262,1326.8,1326.8,196608,25.0,25.0,4.80e-05,7.0485,bf16,1.5B,12,1564837888
17,8.8928,,7279.29,,9359,1313.0,1313.0,208896,26.3,26.3,5.10e-05,11.7660,bf16,1.5B,12,1564837888
18,9.8435,,18834.67,,9311,1319.8,1319.8,221184,27.6,27.6,5.40e-05,3.8038,bf16,1.5B,12,1564837888
19,9.5305,,13772.97,,9208,1334.5,1334.5,233472,28.9,28.9,5.70e-05,4.1470,bf16,1.5B,12,1564837888
20,9.6283,,15189.15,,9360,1312.8,1312.8,245760,30.2,30.2,6.00e-05,3.5409,bf16,1.5B,12,1564837888
21,8.8744,,7146.42,,9306,1320.4,1320.4,258048,31.6,31.6,6.30e-05,7.1014,bf16,1.5B,12,1564837888
22,9.1234,,9167.66,,9311,1319.7,1319.7,270336,32.9,32.9,6.60e-05,4.2833,bf16,1.5B,12,1564837888
23,8.6074,,5472.15,,9210,1334.1,1334.1,282624,34.2,34.2,6.90e-05,8.4538,bf16,1.5B,12,1564837888
