step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,num_params
1,10.8333,,50681.24,,3018,10859.2,10859.2,32768,10.9,10.9,3.00e-06,0.4711,bf16,1.5B,32,1564837888
2,10.8307,,50547.19,,4563,7182.0,7182.0,65536,18.0,18.0,6.00e-06,0.4767,bf16,1.5B,32,1564837888
3,10.8183,,49926.49,,4576,7161.0,7161.0,98304,25.2,25.2,9.00e-06,0.5240,bf16,1.5B,32,1564837888
4,10.7859,,48333.36,,4620,7093.4,7093.4,131072,32.3,32.3,1.20e-05,0.7548,bf16,1.5B,32,1564837888
5,10.7022,,44451.38,,4613,7103.0,7103.0,163840,39.4,39.4,1.50e-05,1.8015,bf16,1.5B,32,1564837888
6,10.6173,,40836.46,,4600,7123.6,7123.6,196608,46.5,46.5,1.80e-05,2.2099,bf16,1.5B,32,1564837888
7,10.4809,,35629.13,,4612,7104.7,7104.7,229376,53.6,53.6,2.10e-05,2.9240,bf16,1.5B,32,1564837888
8,10.3434,,31051.72,,4620,7092.4,7092.4,262144,60.7,60.7,2.40e-05,3.6006,bf16,1.5B,32,1564837888
9,10.2601,,28569.08,,4615,7100.6,7100.6,294912,67.8,67.8,2.70e-05,3.8281,bf16,1.5B,32,1564837888
10,10.1941,,26744.96,,4618,7095.7,7095.7,327680,74.9,74.9,3.00e-05,3.8674,bf16,1.5B,32,1564837888
11,10.1294,,25068.87,,4618,7095.0,7095.0,360448,82.0,82.0,3.30e-05,3.9425,bf16,1.5B,32,1564837888
12,10.0967,,24263.52,,4607,7112.4,7112.4,393216,89.1,89.1,3.60e-05,3.7218,bf16,1.5B,32,1564837888
13,10.0653,,23512.84,,4553,7196.8,7196.8,425984,96.3,96.3,3.90e-05,3.5641,bf16,1.5B,32,1564837888
14,9.9595,,21151.96,,4571,7169.3,7169.3,458752,103.5,103.5,4.20e-05,3.7828,bf16,1.5B,32,1564837888
15,9.8638,,19221.06,,4612,7105.2,7105.2,491520,110.6,110.6,4.50e-05,3.9233,bf16,1.5B,32,1564837888
16,9.8085,,18188.30,,4603,7118.4,7118.4,524288,117.7,117.7,4.80e-05,3.8611,bf16,1.5B,32,1564837888
17,9.7085,,16456.87,,4561,7184.6,7184.6,557056,124.9,124.9,5.10e-05,3.7829,bf16,1.5B,32,1564837888
18,9.6364,,15312.58,,4601,7122.6,7122.6,589824,132.0,132.0,5.40e-05,3.6890,bf16,1.5B,32,1564837888
19,9.5039,,13411.63,,4597,7128.9,7128.9,622592,139.2,139.1,5.70e-05,3.8294,bf16,1.5B,32,1564837888
20,9.4031,,12125.64,,4589,7140.0,7140.0,655360,146.3,146.3,6.00e-05,3.8135,bf16,1.5B,32,1564837888
21,9.3519,,11520.48,,4579,7156.9,7156.9,688128,153.5,153.4,6.30e-05,3.5792,bf16,1.5B,32,1564837888
22,9.1998,,9895.19,,4605,7115.1,7115.1,720896,160.6,160.6,6.60e-05,3.6101,bf16,1.5B,32,1564837888
23,9.1162,,9101.84,,4606,7114.3,7114.3,753664,167.7,167.7,6.90e-05,3.7820,bf16,1.5B,32,1564837888
24,8.9941,,8055.70,,4605,7115.5,7115.5,786432,174.8,174.8,7.20e-05,3.5474,bf16,1.5B,32,1564837888
25,8.7997,,6632.42,,4598,7126.2,7126.2,819200,181.9,181.9,7.50e-05,3.8913,bf16,1.5B,32,1564837888
26,8.8124,,6716.82,,4607,7112.0,7112.0,851968,189.0,189.0,7.80e-05,3.6099,bf16,1.5B,32,1564837888
