step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,num_params
1,10.8336,,50698.40,,510,64205.3,64205.3,32768,64.2,64.2,3.00e-06,0.4694,fp8_tensorwise,1.5B,32,1564837888
2,10.8294,,50482.98,,6387,5130.1,5130.1,65536,69.3,69.3,6.00e-06,0.4736,fp8_tensorwise,1.5B,32,1564837888
3,10.8203,,50023.95,,6421,5103.0,5103.0,98304,74.4,74.4,9.00e-06,0.5194,fp8_tensorwise,1.5B,32,1564837888
4,10.7862,,48346.82,,6420,5104.4,5104.4,131072,79.5,79.5,1.20e-05,0.7438,fp8_tensorwise,1.5B,32,1564837888
5,10.7051,,44583.46,,6400,5119.8,5119.8,163840,84.7,84.7,1.50e-05,1.7399,fp8_tensorwise,1.5B,32,1564837888
6,10.6227,,41054.62,,6404,5116.9,5116.9,196608,89.8,89.8,1.80e-05,2.1484,fp8_tensorwise,1.5B,32,1564837888
7,10.4860,,35811.59,,6420,5103.8,5103.8,229376,94.9,94.9,2.10e-05,2.8968,fp8_tensorwise,1.5B,32,1564837888
8,10.3519,,31315.06,,6410,5111.8,5111.8,262144,100.0,100.0,2.40e-05,3.5867,fp8_tensorwise,1.5B,32,1564837888
9,10.2613,,28602.72,,6392,5126.8,5126.8,294912,105.1,105.1,2.70e-05,3.8135,fp8_tensorwise,1.5B,32,1564837888
10,10.1937,,26734.61,,6358,5154.0,5154.0,327680,110.3,110.3,3.00e-05,3.8675,fp8_tensorwise,1.5B,32,1564837888
11,10.1287,,25050.64,,6366,5147.5,5147.5,360448,115.4,115.4,3.30e-05,3.9427,fp8_tensorwise,1.5B,32,1564837888
12,10.0961,,24247.37,,6368,5146.1,5146.1,393216,120.6,120.6,3.60e-05,3.7218,fp8_tensorwise,1.5B,32,1564837888
13,10.0640,,23481.83,,6366,5147.0,5147.0,425984,125.7,125.7,3.90e-05,3.5641,fp8_tensorwise,1.5B,32,1564837888
14,9.9563,,21084.94,,6336,5171.7,5171.7,458752,130.9,130.9,4.20e-05,3.7827,fp8_tensorwise,1.5B,32,1564837888
