step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,grad_accum,effective_batch,num_params,world_size
1,10.7663,,47396.06,,25379,82632.3,82632.3,2097152,82.6,82.6,2.00e-06,11.5789,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
2,10.6571,,42493.62,,577598,3630.8,3630.8,4194304,86.3,86.3,4.00e-06,7.8502,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
3,10.5179,,36972.34,,576046,3640.6,3640.6,6291456,89.9,89.9,6.00e-06,6.1031,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
4,10.3601,,31573.79,,575795,3642.2,3642.2,8388608,93.5,93.5,8.00e-06,4.9138,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
5,10.2329,,27802.19,,575818,3642.0,3642.0,10485760,97.2,97.2,1.00e-05,4.3172,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
6,10.0757,,23758.49,,575472,3644.2,3644.2,12582912,100.8,100.8,1.20e-05,4.4605,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
7,9.9956,,21929.09,,575758,3642.4,3642.4,14680064,104.5,104.5,1.40e-05,4.3522,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
8,9.8952,,19835.48,,574922,3647.7,3647.7,16777216,108.1,108.1,1.60e-05,4.5791,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
9,9.8433,,18832.62,,575006,3647.2,3647.2,18874368,111.8,111.8,1.80e-05,4.4326,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
10,9.7626,,17371.64,,573097,3659.3,3659.3,20971520,115.4,115.4,2.00e-05,4.5036,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
11,9.6716,,15860.20,,572595,3662.5,3662.5,23068672,119.1,119.1,2.20e-05,4.6407,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
12,9.6733,,15887.64,,570752,3674.4,3674.4,25165824,122.8,122.8,2.40e-05,4.2268,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
13,9.5575,,14150.59,,569771,3680.7,3680.7,27262976,126.4,126.4,2.60e-05,4.5186,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
14,9.5168,,13585.91,,569873,3680.0,3680.0,29360128,130.1,130.1,2.80e-05,4.5446,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
15,9.4358,,12529.54,,568791,3687.0,3687.0,31457280,133.8,133.8,3.00e-05,4.9607,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
16,9.4216,,12352.72,,568691,3687.7,3687.7,33554432,137.5,137.5,3.20e-05,4.3303,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
17,9.3034,,10975.20,,567532,3695.2,3695.2,35651584,141.2,141.2,3.40e-05,4.5366,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
18,9.2333,,10232.33,,566879,3699.5,3699.5,37748736,144.9,144.9,3.60e-05,4.6073,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
19,9.1172,,9110.90,,565615,3707.7,3707.7,39845888,148.6,148.6,3.80e-05,4.9434,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
20,9.0970,,8928.32,,564251,3716.7,3716.7,41943040,152.3,152.3,4.00e-05,4.5053,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
21,9.0721,,8709.24,,563203,3723.6,3723.6,44040192,156.0,156.0,4.20e-05,4.5351,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
22,8.9833,,7968.67,,564229,3716.8,3716.8,46137344,159.8,159.8,4.40e-05,4.1959,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
23,8.8734,,7139.70,,565645,3707.5,3707.5,48234496,163.5,163.5,4.60e-05,4.3789,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
24,8.7933,,6589.62,,567557,3695.0,3695.0,50331648,167.2,167.2,4.80e-05,4.3436,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
25,8.6569,,5749.58,,567814,3693.4,3693.4,52428800,170.9,170.9,5.00e-05,4.5176,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
26,8.6163,,5520.89,,567190,3697.4,3697.4,54525952,174.6,174.6,5.20e-05,4.1532,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
27,8.4281,,4573.81,,567519,3695.3,3695.3,56623104,178.3,178.2,5.40e-05,4.6342,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
28,8.3686,,4309.67,,567109,3698.0,3698.0,58720256,181.9,181.9,5.60e-05,4.3954,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
29,8.2702,,3905.71,,567275,3696.9,3696.9,60817408,185.6,185.6,5.80e-05,4.4502,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
30,8.2043,,3656.82,,567178,3697.5,3697.5,62914560,189.3,189.3,6.00e-05,4.2087,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
31,8.0845,,3243.67,,567835,3693.2,3693.2,65011712,193.0,193.0,6.20e-05,4.2749,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
32,8.0150,,3025.87,,569164,3684.6,3684.6,67108864,196.7,196.7,6.40e-05,4.1539,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
33,7.8727,,2624.52,,568329,3690.0,3690.0,69206016,200.4,200.4,6.60e-05,4.4772,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
34,7.7749,,2380.18,,568260,3690.5,3690.5,71303168,204.1,204.1,6.80e-05,4.4555,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
35,7.7182,,2248.86,,569262,3684.0,3684.0,73400320,207.8,207.8,7.00e-05,4.0748,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
36,7.5990,,1996.26,,567097,3698.0,3698.0,75497472,211.5,211.5,7.20e-05,4.2710,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
37,7.5292,,1861.53,,567791,3693.5,3693.5,77594624,215.2,215.2,7.40e-05,3.8099,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
38,7.4566,,1731.30,,567853,3693.1,3693.1,79691776,218.9,218.9,7.60e-05,3.6640,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
39,7.2770,,1446.66,,567025,3698.5,3698.5,81788928,222.6,222.6,7.80e-05,3.9832,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
40,7.2348,,1386.81,,568566,3688.5,3688.5,83886080,226.3,226.3,8.00e-05,3.7285,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
41,7.2099,,1352.77,,567148,3697.7,3697.7,85983232,230.0,230.0,8.20e-05,3.3739,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
42,7.0799,,1187.88,,568349,3689.9,3689.9,88080384,233.6,233.6,8.40e-05,3.5058,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
43,7.0099,,1107.49,,567586,3694.9,3694.9,90177536,237.3,237.3,8.60e-05,3.2963,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
44,6.9060,,998.28,,568108,3691.5,3691.5,92274688,241.0,241.0,8.80e-05,3.1295,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
45,6.9226,,1014.97,,567850,3693.1,3693.1,94371840,244.7,244.7,9.00e-05,3.7240,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
46,6.8579,,951.40,,567836,3693.2,3693.2,96468992,248.4,248.4,9.20e-05,2.7187,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
47,6.8012,,898.97,,567549,3695.1,3695.1,98566144,252.1,252.1,9.40e-05,2.5869,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
48,6.7283,,835.75,,567486,3695.5,3695.5,100663296,255.8,255.8,9.60e-05,2.5466,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
49,6.7645,,866.56,,567595,3694.8,3694.8,102760448,259.5,259.5,9.80e-05,3.1683,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
50,6.7968,,895.02,,566235,3703.7,3703.7,104857600,263.2,263.2,1.00e-04,13.1238,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
51,6.7125,,822.61,,566604,3701.3,3701.3,106954752,266.9,266.9,1.02e-04,6.4944,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
52,6.7409,,846.31,,566799,3700.0,3700.0,109051904,270.6,270.6,1.04e-04,4.3183,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
53,6.5830,,722.68,,565021,3711.6,3711.6,111149056,274.3,274.3,1.06e-04,2.2615,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
54,6.6516,,774.00,,566564,3701.5,3701.5,113246208,278.0,278.0,1.08e-04,3.8265,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
55,6.7105,,821.01,,566885,3699.4,3699.4,115343360,281.7,281.7,1.10e-04,13.4363,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
56,6.7380,,843.88,,565998,3705.2,3705.2,117440512,285.4,285.4,1.12e-04,10.6679,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
57,7.0478,,1150.30,,566559,3701.6,3701.6,119537664,289.1,289.1,1.14e-04,15.7614,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
58,6.7856,,885.04,,566326,3703.1,3703.1,121634816,292.8,292.8,1.16e-04,46.5910,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
59,7.0702,,1176.43,,569520,3682.3,3682.3,123731968,296.5,296.5,1.18e-04,22.9451,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
60,7.3688,,1585.65,,569515,3682.3,3682.3,125829120,300.2,300.2,1.20e-04,13.0159,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
61,7.1006,,1212.73,,568233,3690.7,3690.7,127926272,303.9,303.9,1.22e-04,9.7283,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
62,7.0606,,1165.17,,569029,3685.5,3685.5,130023424,307.6,307.6,1.24e-04,8.1923,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
63,7.0395,,1140.80,,570179,3678.1,3678.1,132120576,311.3,311.2,1.26e-04,11.1614,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
64,7.4660,,1747.63,,570220,3677.8,3677.8,134217728,314.9,314.9,1.28e-04,44.0760,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
65,7.1336,,1253.38,,569350,3683.4,3683.4,136314880,318.6,318.6,1.30e-04,8.6370,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
66,7.3412,,1542.58,,572118,3665.6,3665.6,138412032,322.3,322.3,1.32e-04,8.6721,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
67,6.9326,,1025.17,,570362,3676.9,3676.9,140509184,326.0,326.0,1.34e-04,11.0550,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
68,6.9383,,1031.04,,570620,3675.2,3675.2,142606336,329.6,329.6,1.36e-04,8.4448,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
69,7.0582,,1162.40,,570336,3677.0,3677.0,144703488,333.3,333.3,1.38e-04,3.3051,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
70,7.2028,,1343.20,,569626,3681.6,3681.6,146800640,337.0,337.0,1.40e-04,6.0142,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
71,6.9497,,1042.82,,567746,3693.8,3693.8,148897792,340.7,340.7,1.42e-04,1.3811,fp8_tensorwise,1.5B,64,4,2048,1562740736,8
