step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,num_params
1,11.2332,,75597.98,,408,80219.7,80219.7,32768,80.2,80.2,3.00e-06,5.0153,fp8_rowwise,1.5B,32,1564837888
2,11.2282,,75222.00,,5034,6509.1,6509.1,65536,86.7,86.7,6.00e-06,5.0129,fp8_rowwise,1.5B,32,1564837888
3,11.2315,,75471.56,,5068,6465.6,6465.6,98304,93.2,93.2,9.00e-06,5.0156,fp8_rowwise,1.5B,32,1564837888
4,11.2146,,74208.36,,5050,6489.2,6489.2,131072,99.7,99.7,1.20e-05,5.0135,fp8_rowwise,1.5B,32,1564837888
5,11.1910,,72477.98,,5049,6490.2,6490.2,163840,106.2,106.2,1.50e-05,5.1666,fp8_rowwise,1.5B,32,1564837888
6,11.1817,,71805.88,,5058,6478.0,6478.0,196608,112.7,112.7,1.80e-05,5.0202,fp8_rowwise,1.5B,32,1564837888
7,11.1593,,70212.71,,5049,6489.7,6489.7,229376,119.1,119.1,2.10e-05,5.0009,fp8_rowwise,1.5B,32,1564837888
8,11.1221,,67649.23,,5057,6479.6,6479.6,262144,125.6,125.6,2.40e-05,5.0273,fp8_rowwise,1.5B,32,1564837888
9,11.0525,,63102.94,,5061,6475.2,6475.2,294912,132.1,132.1,2.70e-05,5.0297,fp8_rowwise,1.5B,32,1564837888
10,10.9764,,58479.46,,5046,6493.2,6493.2,327680,138.6,138.6,3.00e-05,5.0722,fp8_rowwise,1.5B,32,1564837888
11,10.8761,,52895.21,,5059,6477.3,6477.3,360448,145.1,145.1,3.30e-05,5.1069,fp8_rowwise,1.5B,32,1564837888
12,10.7545,,46841.38,,5059,6477.7,6477.7,393216,151.5,151.5,3.60e-05,5.1495,fp8_rowwise,1.5B,32,1564837888
13,10.5657,,38783.05,,5048,6491.6,6491.6,425984,158.0,158.0,3.90e-05,5.2753,fp8_rowwise,1.5B,32,1564837888
14,10.0962,,24250.38,,5040,6501.0,6501.0,458752,164.5,164.5,4.20e-05,5.6406,fp8_rowwise,1.5B,32,1564837888
15,9.7802,,17680.54,,5063,6471.7,6471.7,491520,171.0,171.0,4.50e-05,7.2556,fp8_rowwise,1.5B,32,1564837888
16,9.4718,,12987.82,,5063,6471.7,6471.7,524288,177.5,177.5,4.80e-05,7.7430,fp8_rowwise,1.5B,32,1564837888
17,9.3749,,11788.30,,5047,6492.0,6492.0,557056,184.0,184.0,5.10e-05,9.4581,fp8_rowwise,1.5B,32,1564837888
18,9.2672,,10584.72,,5050,6488.5,6488.5,589824,190.5,190.5,5.40e-05,6.8711,fp8_rowwise,1.5B,32,1564837888
19,9.0757,,8740.25,,5055,6482.8,6482.8,622592,197.0,196.9,5.70e-05,4.1041,fp8_rowwise,1.5B,32,1564837888
20,8.9591,,7778.57,,5054,6484.0,6484.0,655360,203.4,203.4,6.00e-05,3.8272,fp8_rowwise,1.5B,32,1564837888
21,8.9723,,7881.89,,5055,6482.4,6482.4,688128,209.9,209.9,6.30e-05,3.0002,fp8_rowwise,1.5B,32,1564837888
22,8.8038,,6659.72,,5062,6473.6,6473.6,720896,216.4,216.4,6.60e-05,9.4176,fp8_rowwise,1.5B,32,1564837888
23,8.6335,,5616.42,,5034,6510.0,6510.0,753664,222.9,222.9,6.90e-05,2.9490,fp8_rowwise,1.5B,32,1564837888
24,8.6004,,5433.82,,5056,6481.3,6481.3,786432,229.4,229.4,7.20e-05,4.0543,fp8_rowwise,1.5B,32,1564837888
25,8.4545,,4696.10,,5052,6486.6,6486.6,819200,235.9,235.9,7.50e-05,4.7555,fp8_rowwise,1.5B,32,1564837888
26,8.5131,,4979.79,,5043,6497.1,6497.1,851968,242.4,242.4,7.80e-05,2.9859,fp8_rowwise,1.5B,32,1564837888
27,8.3367,,4174.15,,5061,6474.5,6474.5,884736,248.8,248.8,8.10e-05,2.1160,fp8_rowwise,1.5B,32,1564837888
28,8.1887,,3599.97,,5058,6478.0,6478.0,917504,255.3,255.3,8.40e-05,2.8570,fp8_rowwise,1.5B,32,1564837888
29,8.3840,,4376.34,,5076,6455.0,6455.0,950272,261.8,261.8,8.70e-05,2.9303,fp8_rowwise,1.5B,32,1564837888
30,8.2181,,3707.28,,5052,6485.7,6485.7,983040,268.3,268.3,9.00e-05,2.1008,fp8_rowwise,1.5B,32,1564837888
31,8.0714,,3201.73,,5042,6498.5,6498.5,1015808,274.8,274.8,9.30e-05,1.8642,fp8_rowwise,1.5B,32,1564837888
32,7.9809,,2924.45,,5045,6494.7,6494.7,1048576,281.3,281.2,9.60e-05,1.7723,fp8_rowwise,1.5B,32,1564837888
33,7.7104,,2231.46,,5076,6455.2,6455.2,1081344,287.7,287.7,9.90e-05,1.5270,fp8_rowwise,1.5B,32,1564837888
34,7.8954,,2684.99,,5067,6466.6,6466.6,1114112,294.2,294.2,1.02e-04,1.6458,fp8_rowwise,1.5B,32,1564837888
35,7.7728,,2375.21,,5040,6501.7,6501.7,1146880,300.7,300.7,1.05e-04,1.2755,fp8_rowwise,1.5B,32,1564837888
36,7.6462,,2092.69,,5063,6472.0,6472.0,1179648,307.2,307.1,1.08e-04,1.7436,fp8_rowwise,1.5B,32,1564837888
37,7.6108,,2019.83,,5069,6464.0,6464.0,1212416,313.6,313.6,1.11e-04,1.4295,fp8_rowwise,1.5B,32,1564837888
38,7.4867,,1784.09,,5073,6459.2,6459.2,1245184,320.1,320.1,1.14e-04,1.9445,fp8_rowwise,1.5B,32,1564837888
