step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,num_params
1,11.2296,,75326.66,,1258,26046.7,26046.7,32768,26.0,26.0,3.00e-06,5.0316,fp8_tensorwise,1.5B,32,1564837888
2,11.2314,,75462.56,,6165,5315.2,5315.2,65536,31.4,31.4,6.00e-06,5.0296,fp8_tensorwise,1.5B,32,1564837888
3,11.2275,,75165.85,,6255,5238.6,5238.6,98304,36.6,36.6,9.00e-06,4.9890,fp8_tensorwise,1.5B,32,1564837888
4,11.2208,,74664.81,,6213,5273.8,5273.8,131072,41.9,41.9,1.20e-05,5.0384,fp8_tensorwise,1.5B,32,1564837888
5,11.2032,,73364.02,,6262,5232.9,5232.9,163840,47.1,47.1,1.50e-05,5.1538,fp8_tensorwise,1.5B,32,1564837888
6,11.1755,,71361.26,,6247,5245.4,5245.4,196608,52.4,52.4,1.80e-05,5.0287,fp8_tensorwise,1.5B,32,1564837888
7,11.1506,,69604.68,,6204,5281.5,5281.5,229376,57.6,57.6,2.10e-05,4.9933,fp8_tensorwise,1.5B,32,1564837888
8,11.1034,,66394.07,,6198,5287.1,5287.1,262144,62.9,62.9,2.40e-05,5.0077,fp8_tensorwise,1.5B,32,1564837888
9,11.0375,,62159.59,,6218,5270.2,5270.2,294912,68.2,68.2,2.70e-05,5.0381,fp8_tensorwise,1.5B,32,1564837888
10,10.9443,,56629.34,,6246,5246.5,5246.5,327680,73.4,73.4,3.00e-05,5.0435,fp8_tensorwise,1.5B,32,1564837888
11,10.8230,,50160.82,,6251,5242.3,5242.3,360448,78.7,78.7,3.30e-05,5.1619,fp8_tensorwise,1.5B,32,1564837888
12,10.6803,,43489.30,,6221,5267.5,5267.5,393216,84.0,83.9,3.60e-05,5.2444,fp8_tensorwise,1.5B,32,1564837888
13,10.4336,,33980.93,,6194,5290.5,5290.5,425984,89.2,89.2,3.90e-05,5.4557,fp8_tensorwise,1.5B,32,1564837888
14,9.8872,,19676.76,,6194,5290.2,5290.2,458752,94.5,94.5,4.20e-05,4.9269,fp8_tensorwise,1.5B,32,1564837888
15,10.3637,,31688.57,,6225,5264.0,5264.0,491520,99.8,99.8,4.50e-05,19.1057,fp8_tensorwise,1.5B,32,1564837888
16,9.6747,,15910.11,,6215,5272.4,5272.4,524288,105.1,105.1,4.80e-05,13.1757,fp8_tensorwise,1.5B,32,1564837888
17,9.5440,,13961.30,,6231,5259.1,5259.1,557056,110.3,110.3,5.10e-05,12.2782,fp8_tensorwise,1.5B,32,1564837888
18,9.4388,,12566.21,,6216,5271.5,5271.5,589824,115.6,115.6,5.40e-05,8.0456,fp8_tensorwise,1.5B,32,1564837888
19,9.2692,,10606.20,,6180,5302.0,5302.0,622592,120.9,120.9,5.70e-05,4.8106,fp8_tensorwise,1.5B,32,1564837888
20,9.1232,,9165.08,,6195,5289.4,5289.4,655360,126.2,126.2,6.00e-05,4.2145,fp8_tensorwise,1.5B,32,1564837888
21,9.1716,,9620.18,,6239,5252.4,5252.4,688128,131.5,131.4,6.30e-05,6.9490,fp8_tensorwise,1.5B,32,1564837888
22,8.8779,,7171.50,,6188,5295.8,5295.8,720896,136.7,136.7,6.60e-05,4.5864,fp8_tensorwise,1.5B,32,1564837888
23,8.8638,,7071.48,,6225,5264.0,5264.0,753664,142.0,142.0,6.90e-05,8.3528,fp8_tensorwise,1.5B,32,1564837888
24,8.6323,,5609.86,,6213,5274.1,5274.1,786432,147.3,147.3,7.20e-05,2.6137,fp8_tensorwise,1.5B,32,1564837888
25,8.4344,,4602.68,,6198,5287.0,5287.0,819200,152.6,152.6,7.50e-05,3.3753,fp8_tensorwise,1.5B,32,1564837888
26,8.6078,,5473.94,,6200,5284.9,5284.9,851968,157.9,157.8,7.80e-05,4.0221,fp8_tensorwise,1.5B,32,1564837888
27,8.4238,,4554.37,,6213,5274.2,5274.2,884736,163.1,163.1,8.10e-05,2.9131,fp8_tensorwise,1.5B,32,1564837888
28,8.2193,,3711.76,,6252,5241.6,5241.6,917504,168.4,168.4,8.40e-05,2.4946,fp8_tensorwise,1.5B,32,1564837888
29,8.4181,,4528.28,,6207,5278.8,5278.8,950272,173.7,173.6,8.70e-05,3.3364,fp8_tensorwise,1.5B,32,1564837888
30,8.2634,,3879.15,,6191,5292.4,5292.4,983040,179.0,178.9,9.00e-05,2.0523,fp8_tensorwise,1.5B,32,1564837888
31,8.1528,,3473.08,,6264,5231.1,5231.1,1015808,184.2,184.2,9.30e-05,2.8093,fp8_tensorwise,1.5B,32,1564837888
32,8.0589,,3161.79,,6236,5254.9,5254.9,1048576,189.4,189.4,9.60e-05,1.7559,fp8_tensorwise,1.5B,32,1564837888
33,7.8048,,2452.43,,6224,5264.4,5264.4,1081344,194.7,194.7,9.90e-05,2.5272,fp8_tensorwise,1.5B,32,1564837888
34,7.9788,,2918.52,,6226,5263.0,5263.0,1114112,200.0,199.9,1.02e-04,1.9712,fp8_tensorwise,1.5B,32,1564837888
35,7.8621,,2596.95,,6193,5290.9,5290.9,1146880,205.3,205.2,1.05e-04,1.7492,fp8_tensorwise,1.5B,32,1564837888
36,7.7149,,2241.49,,6178,5303.9,5303.9,1179648,210.6,210.5,1.08e-04,2.1251,fp8_tensorwise,1.5B,32,1564837888
37,7.6816,,2168.12,,6184,5298.6,5298.6,1212416,215.9,215.8,1.11e-04,1.5138,fp8_tensorwise,1.5B,32,1564837888
38,7.5254,,1854.62,,6242,5249.6,5249.6,1245184,221.1,221.1,1.14e-04,1.3331,fp8_tensorwise,1.5B,32,1564837888
39,7.4270,,1680.74,,6245,5247.3,5247.3,1277952,226.4,226.3,1.17e-04,1.7166,fp8_tensorwise,1.5B,32,1564837888
40,7.5058,,1818.54,,6265,5230.4,5230.4,1310720,231.6,231.6,1.20e-04,1.6016,fp8_tensorwise,1.5B,32,1564837888
41,7.5659,,1931.12,,6244,5248.3,5248.3,1343488,236.8,236.8,1.23e-04,1.6631,fp8_tensorwise,1.5B,32,1564837888
42,7.5487,,1898.30,,6276,5220.9,5220.9,1376256,242.1,242.0,1.26e-04,1.8829,fp8_tensorwise,1.5B,32,1564837888
43,7.3695,,1586.88,,6251,5242.4,5242.4,1409024,247.3,247.3,1.29e-04,2.0716,fp8_tensorwise,1.5B,32,1564837888
44,7.4193,,1667.88,,6208,5278.1,5278.1,1441792,252.6,252.6,1.32e-04,1.5925,fp8_tensorwise,1.5B,32,1564837888
45,7.7921,,2421.30,,6230,5259.6,5259.6,1474560,257.8,257.8,1.35e-04,1.4631,fp8_tensorwise,1.5B,32,1564837888
46,7.3300,,1525.43,,6212,5275.3,5275.3,1507328,263.1,263.1,1.38e-04,1.5098,fp8_tensorwise,1.5B,32,1564837888
47,7.1682,,1297.50,,6207,5279.1,5279.1,1540096,268.4,268.4,1.41e-04,1.3805,fp8_tensorwise,1.5B,32,1564837888
