step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,grad_accum,effective_batch,num_params,world_size
1,10.8336,,50695.35,,811,80774.0,80774.0,65536,80.8,80.8,3.00e-05,0.2455,fp8_tensorwise,1.5B,32,2,64,1564837888,1
2,10.8351,,50771.32,,65829,995.5,995.5,131072,81.8,81.8,6.00e-05,0.2430,fp8_tensorwise,1.5B,32,2,64,1564837888,1
3,10.8336,,50696.30,,65781,996.3,996.3,196608,82.8,82.8,9.00e-05,0.2340,fp8_tensorwise,1.5B,32,2,64,1564837888,1
4,10.8339,,50712.91,,65627,998.6,998.6,262144,83.8,83.8,1.20e-04,0.2206,fp8_tensorwise,1.5B,32,2,64,1564837888,1
5,10.8343,,50729.47,,65753,996.7,996.7,327680,84.8,84.8,1.50e-04,0.2087,fp8_tensorwise,1.5B,32,2,64,1564837888,1
6,10.8341,,50720.98,,65823,995.6,995.6,393216,85.8,85.8,1.80e-04,0.2071,fp8_tensorwise,1.5B,32,2,64,1564837888,1
7,10.8352,,50776.74,,65701,997.5,997.5,458752,86.8,86.8,2.10e-04,0.1943,fp8_tensorwise,1.5B,32,2,64,1564837888,1
8,10.8371,,50873.87,,65834,995.5,995.5,524288,87.8,87.7,2.40e-04,0.1915,fp8_tensorwise,1.5B,32,2,64,1564837888,1
9,10.8411,,51078.10,,65838,995.4,995.4,589824,88.7,88.7,2.70e-04,0.1874,fp8_tensorwise,1.5B,32,2,64,1564837888,1
10,10.8415,,51098.23,,65959,993.6,993.6,655360,89.7,89.7,3.00e-04,0.1843,fp8_tensorwise,1.5B,32,2,64,1564837888,1
11,10.8414,,51090.62,,66382,987.3,987.3,720896,90.7,90.7,3.30e-04,0.1836,fp8_tensorwise,1.5B,32,2,64,1564837888,1
12,10.8482,,51439.01,,66186,990.2,990.2,786432,91.7,91.7,3.60e-04,0.1833,fp8_tensorwise,1.5B,32,2,64,1564837888,1
