step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,grad_accum,effective_batch,num_params,world_size
1,10.8323,,50631.31,,49724,39539.6,39539.6,1966080,39.5,39.5,1.03e-05,0.0550,fp8_tensorwise,125M,96,20,1920,142461696,1
2,10.8325,,50639.23,,481018,4087.3,4087.3,3932160,43.6,43.6,2.07e-05,0.0550,fp8_tensorwise,125M,96,20,1920,142461696,1
3,10.8324,,50635.72,,478212,4111.3,4111.3,5898240,47.7,47.7,3.10e-05,0.0549,fp8_tensorwise,125M,96,20,1920,142461696,1
4,10.8323,,50629.92,,478023,4112.9,4112.9,7864320,51.9,51.9,4.14e-05,0.0549,fp8_tensorwise,125M,96,20,1920,142461696,1
5,10.8321,,50618.53,,477237,4119.7,4119.7,9830400,56.0,56.0,5.17e-05,0.0548,fp8_tensorwise,125M,96,20,1920,142461696,1
6,10.8324,,50634.43,,479003,4104.5,4104.5,11796480,60.1,60.1,6.21e-05,0.0546,fp8_tensorwise,125M,96,20,1920,142461696,1
7,10.8324,,50633.24,,479978,4096.2,4096.2,13762560,64.2,64.2,7.24e-05,0.0541,fp8_tensorwise,125M,96,20,1920,142461696,1
8,10.8322,,50625.66,,478980,4104.7,4104.7,15728640,68.3,68.3,8.28e-05,0.0535,fp8_tensorwise,125M,96,20,1920,142461696,1
9,10.8323,,50631.47,,479085,4103.8,4103.8,17694720,72.4,72.4,9.31e-05,0.0526,fp8_tensorwise,125M,96,20,1920,142461696,1
10,10.8322,,50624.14,,475793,4132.2,4132.2,19660800,76.5,76.5,1.03e-04,0.0514,fp8_tensorwise,125M,96,20,1920,142461696,1
11,10.8323,,50627.88,,475048,4138.7,4138.7,21626880,80.7,80.7,1.14e-04,0.0490,fp8_tensorwise,125M,96,20,1920,142461696,1
12,10.8319,,50612.18,,474595,4142.7,4142.7,23592960,84.8,84.8,1.24e-04,0.0454,fp8_tensorwise,125M,96,20,1920,142461696,1
13,10.8321,,50617.52,,474855,4140.4,4140.4,25559040,88.9,88.9,1.34e-04,0.0405,fp8_tensorwise,125M,96,20,1920,142461696,1
14,10.8313,,50578.64,,473892,4148.8,4148.8,27525120,93.1,93.1,1.45e-04,0.0337,fp8_tensorwise,125M,96,20,1920,142461696,1
15,10.8305,,50538.29,,475755,4132.6,4132.6,29491200,97.2,97.2,1.55e-04,0.0291,fp8_tensorwise,125M,96,20,1920,142461696,1
16,10.8297,,50500.39,,474473,4143.7,4143.7,31457280,101.4,101.4,1.66e-04,0.0270,fp8_tensorwise,125M,96,20,1920,142461696,1
17,10.8289,,50457.31,,475652,4133.4,4133.4,33423360,105.5,105.5,1.76e-04,0.0262,fp8_tensorwise,125M,96,20,1920,142461696,1
18,10.8281,,50419.54,,474754,4141.3,4141.3,35389440,109.6,109.6,1.86e-04,0.0254,fp8_tensorwise,125M,96,20,1920,142461696,1
19,10.8277,,50396.95,,473851,4149.2,4149.2,37355520,113.8,113.8,1.97e-04,0.0250,fp8_tensorwise,125M,96,20,1920,142461696,1
20,10.8277,,50398.85,,473635,4151.0,4151.0,39321600,117.9,117.9,2.07e-04,0.0248,fp8_tensorwise,125M,96,20,1920,142461696,1
21,10.8280,,50411.65,,475398,4135.6,4135.6,41287680,122.1,122.1,2.17e-04,0.0245,fp8_tensorwise,125M,96,20,1920,142461696,1
22,10.8286,,50443.83,,474043,4147.5,4147.5,43253760,126.2,126.2,2.28e-04,0.0248,fp8_tensorwise,125M,96,20,1920,142461696,1
23,10.8291,,50468.00,,473763,4149.9,4149.9,45219840,130.4,130.4,2.38e-04,0.0249,fp8_tensorwise,125M,96,20,1920,142461696,1
24,10.8295,,50490.52,,473568,4151.6,4151.6,47185920,134.5,134.5,2.48e-04,0.0253,fp8_tensorwise,125M,96,20,1920,142461696,1
25,10.8299,,50508.43,,473449,4152.7,4152.7,49152000,138.7,138.7,2.59e-04,0.0256,fp8_tensorwise,125M,96,20,1920,142461696,1
26,10.8297,,50497.12,,473325,4153.8,4153.8,51118080,142.8,142.8,2.69e-04,0.0257,fp8_tensorwise,125M,96,20,1920,142461696,1
